epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1598.5,3.03535,16.562,2.12365,0.58236,0.30613,0.44635,0.34884,2.42842,6.13495,1.86071,0.001,0.001,0.001
2,3202.96,1.88899,3.56576,1.70836,0.7365,0.4404,0.5977,0.48742,1.96479,4.22525,1.73181,0.00098017,0.00098017,0.00098017
3,4805.96,1.6703,2.82542,1.64898,0.82433,0.55275,0.69729,0.57519,1.79137,3.30961,1.67592,0.00096034,0.00096034,0.00096034
4,6411.23,1.5506,2.48667,1.61743,0.87965,0.65302,0.78102,0.66027,1.68681,2.92956,1.64435,0.00094051,0.00094051,0.00094051
5,8018.07,1.48412,2.28495,1.59923,0.89496,0.67754,0.79461,0.68246,1.59765,2.71952,1.63034,0.00092068,0.00092068,0.00092068
6,9621.25,1.42476,2.15566,1.58773,0.90427,0.712,0.81445,0.69807,1.55117,2.42518,1.61421,0.00090085,0.00090085,0.00090085
7,11227.9,1.39603,2.04232,1.58016,0.93771,0.71757,0.84764,0.73051,1.49481,2.33782,1.60835,0.00088102,0.00088102,0.00088102
8,12833.7,1.36776,1.97387,1.57428,0.9743,0.72743,0.8569,0.74404,1.49649,2.29666,1.60461,0.00086119,0.00086119,0.00086119
9,14437.9,1.33581,1.90713,1.56746,0.97936,0.76997,0.8809,0.76489,1.44635,2.00823,1.59368,0.00084136,0.00084136,0.00084136
10,16044.4,1.31101,1.80667,1.56343,0.97235,0.8112,0.89864,0.78284,1.38182,1.86727,1.58452,0.00082153,0.00082153,0.00082153
11,17651.8,1.28533,1.7366,1.56077,0.98214,0.79625,0.89376,0.78395,1.37651,1.88802,1.57952,0.0008017,0.0008017,0.0008017
12,19258.6,1.25656,1.68419,1.55687,0.97258,0.82595,0.90546,0.79177,1.3416,1.75637,1.57426,0.00078187,0.00078187,0.00078187
13,20864.9,1.24297,1.63641,1.55276,0.96786,0.86715,0.9293,0.81128,1.31851,1.67905,1.57124,0.00076204,0.00076204,0.00076204
14,22473.5,1.22397,1.60556,1.55031,0.98081,0.86507,0.92788,0.81324,1.28834,1.62315,1.56542,0.00074221,0.00074221,0.00074221
15,24081.2,1.21599,1.57399,1.5465,0.97878,0.85207,0.91928,0.81156,1.26678,1.57176,1.56071,0.00072238,0.00072238,0.00072238
16,25688.8,1.18574,1.51817,1.54168,0.97335,0.91074,0.95134,0.82828,1.23935,1.52211,1.56009,0.00070255,0.00070255,0.00070255
17,27296.3,1.18143,1.51394,1.54058,0.98642,0.885,0.93996,0.82757,1.24032,1.50707,1.5565,0.00068272,0.00068272,0.00068272
18,28904,1.16651,1.50478,1.53916,0.98504,0.89852,0.94668,0.83471,1.2052,1.44987,1.55288,0.00066289,0.00066289,0.00066289
19,30510.7,1.14305,1.46001,1.53508,0.99033,0.89622,0.9468,0.83892,1.19117,1.42696,1.55178,0.00064306,0.00064306,0.00064306
20,32117.2,1.12757,1.4207,1.53523,0.98678,0.91939,0.95789,0.84371,1.18931,1.4064,1.54815,0.00062323,0.00062323,0.00062323
21,33722.6,1.12823,1.39407,1.53024,0.98677,0.92858,0.96285,0.8476,1.16386,1.3624,1.54618,0.0006034,0.0006034,0.0006034
22,35330.5,1.1092,1.37471,1.53105,0.98926,0.92002,0.95863,0.85375,1.14493,1.33444,1.5437,0.00058357,0.00058357,0.00058357
23,36938,1.10086,1.36353,1.52729,0.9875,0.91953,0.95796,0.85287,1.13043,1.31562,1.54189,0.00056374,0.00056374,0.00056374
24,38546.3,1.08256,1.33005,1.52218,0.99305,0.93229,0.96473,0.85864,1.12298,1.30049,1.54081,0.00054391,0.00054391,0.00054391
25,40153.2,1.07644,1.31446,1.52254,0.99308,0.94149,0.96938,0.86445,1.11129,1.28484,1.53885,0.00052408,0.00052408,0.00052408
26,41759.8,1.05609,1.28367,1.52096,0.99,0.94043,0.96896,0.86607,1.10251,1.26884,1.53658,0.00050425,0.00050425,0.00050425
27,43365.8,1.04329,1.26883,1.51768,0.98851,0.93937,0.96828,0.86879,1.09032,1.25632,1.53548,0.00048442,0.00048442,0.00048442
28,44973.9,1.03887,1.25979,1.51694,0.99267,0.94216,0.96985,0.87224,1.08139,1.24434,1.53419,0.00046459,0.00046459,0.00046459
29,46581.4,1.03143,1.25138,1.51857,0.99199,0.94411,0.97074,0.8748,1.07021,1.22357,1.53319,0.00044476,0.00044476,0.00044476
30,48188.9,1.0154,1.22378,1.51304,0.99306,0.94666,0.97212,0.87786,1.05889,1.20364,1.53175,0.00042493,0.00042493,0.00042493
31,49796.1,1.00055,1.2032,1.51194,0.99229,0.94258,0.96993,0.87677,1.05281,1.20428,1.53049,0.0004051,0.0004051,0.0004051
32,51403.5,0.99445,1.1925,1.51269,0.99384,0.94646,0.97196,0.87945,1.0455,1.19217,1.5293,0.00038527,0.00038527,0.00038527
33,53010.2,0.97949,1.17032,1.50798,0.99402,0.94319,0.97035,0.88047,1.03992,1.18413,1.52847,0.00036544,0.00036544,0.00036544
34,54617.9,0.96807,1.15428,1.51053,0.99349,0.94349,0.97052,0.88232,1.03141,1.17633,1.52771,0.00034561,0.00034561,0.00034561
35,56225.2,0.95693,1.14916,1.50804,0.99395,0.94642,0.97213,0.88396,1.02335,1.16961,1.52685,0.00032578,0.00032578,0.00032578
36,57832.6,0.94939,1.14138,1.5038,0.99342,0.94709,0.9724,0.885,1.01653,1.16677,1.52605,0.00030595,0.00030595,0.00030595
37,59439.7,0.93764,1.12465,1.50017,0.99277,0.94795,0.97282,0.88644,1.01055,1.1623,1.52535,0.00028612,0.00028612,0.00028612
38,61047.4,0.93194,1.11677,1.5027,0.99242,0.9477,0.97269,0.88621,1.00715,1.15889,1.52474,0.00026629,0.00026629,0.00026629
39,62654.7,0.91886,1.10153,1.50234,0.99251,0.9494,0.97355,0.88772,1.00298,1.15406,1.52411,0.00024646,0.00024646,0.00024646
40,64261.6,0.90644,1.08487,1.50057,0.99388,0.94997,0.97384,0.88865,0.99907,1.14871,1.52347,0.00022663,0.00022663,0.00022663
41,65869.2,0.90644,1.08278,1.50132,0.99393,0.94359,0.97075,0.8866,0.99574,1.14836,1.52293,0.0002068,0.0002068,0.0002068
42,67474.6,0.89096,1.06844,1.49781,0.99418,0.94455,0.97125,0.88752,0.9917,1.14603,1.52252,0.00018697,0.00018697,0.00018697
43,69081.6,0.87888,1.05537,1.49703,0.99435,0.94899,0.97342,0.88971,0.98859,1.14661,1.52206,0.00016714,0.00016714,0.00016714
44,70688.4,0.87469,1.05567,1.49904,0.99507,0.9508,0.97439,0.89117,0.98567,1.15115,1.52164,0.00014731,0.00014731,0.00014731
45,72292.9,0.87015,1.04561,1.49566,0.99587,0.95063,0.97436,0.89097,0.98224,1.14856,1.52122,0.00012748,0.00012748,0.00012748
46,73900.9,0.85454,1.02809,1.49343,0.99594,0.95003,0.97404,0.89124,0.97961,1.15237,1.52078,0.00010765,0.00010765,0.00010765
47,75509.3,0.84496,1.02615,1.49282,0.99571,0.94993,0.97402,0.89147,0.97757,1.15511,1.52041,8.782e-05,8.782e-05,8.782e-05
48,77118.2,0.84422,1.03167,1.49334,0.99527,0.95003,0.97406,0.89177,0.97523,1.15763,1.52006,6.799e-05,6.799e-05,6.799e-05
